ticket_id,short_description,description,priority,close_notes,known_solution,root_cause
"KB00001","Database server crash due to memory overload","The primary database server (SQLDB01) experienced a crash during peak transaction processing, causing application timeouts. Users reported errors in the ERP system.","P1","Increased memory allocation and applied latest patches. Monitored for 48 hours with no recurrence.","Upgraded server RAM to 64GB and optimized database queries.","Insufficient memory allocation during high transaction volume."
"KB00002","Network outage in data center","Users reported inability to access internal applications due to a network switch failure in DC-01.","P1","Replaced faulty switch and rerouted traffic. Monitored for stability.","Replaced Cisco switch SW-01 with new hardware.","Faulty network switch hardware."
"KB00003","Login failure on CRM application","CRM system returned 403 errors for all users attempting to log in after a recent update.","P2","Rolled back update and applied hotfix. Tested authentication successfully.","Applied CRM patch version 3.2.1 to fix authentication bug.","Bug in CRM update 3.2.0."
"KB00004","Email server delay","Outgoing emails were delayed by up to 2 hours due to SMTP server overload.","P3","Increased SMTP server capacity and optimized queue settings.","Added two additional SMTP nodes to load balance.","High email volume exceeding server capacity."
"KB00005","Printer failure in office","Main office printer (PRN-05) stopped responding, impacting document printing.","P4","Replaced toner and updated firmware. Printer operational.","Updated printer firmware to version 2.1.3.","Outdated firmware causing connectivity issues."
"KB00006","VPN connection issues","Remote users reported intermittent VPN disconnections during peak hours.","P2","Increased VPN server bandwidth and updated client software.","Upgraded VPN server to handle 500 concurrent users.","Insufficient VPN server bandwidth."
"KB00007","Application crash on finance portal","Finance portal crashed during month-end processing, showing memory errors.","P1","Restarted application and applied memory patch.","Patched application to version 4.1.2 to fix memory leak.","Memory leak in application version 4.1.1."
"KB00008","Server disk space alert","File server (FS-03) reached 95% disk capacity, risking data write failures.","P3","Deleted temporary files and expanded storage by 500GB.","Added 500GB SSD to file server.","Unmonitored temporary file growth."
"KB00009","Website downtime","Company website returned 503 errors due to overloaded web server.","P1","Scaled up web server instances and optimized caching.","Added two additional web server nodes and enabled Redis caching.","High traffic spike overwhelming server."
"KB00010","Backup failure","Nightly backup job failed due to insufficient permissions on backup server.","P3","Updated backup service account permissions and reran job.","Granted full permissions to backup service account.","Incorrect service account permissions."
"KB00011","User account lockouts","Multiple users reported account lockouts after password policy change.","P2","Reverted policy change and reset affected accounts.","Reverted to previous password policy settings.","Overly restrictive password policy."
"KB00012","Database query timeout","Reports module in ERP system timed out due to unoptimized queries.","P3","Optimized database indexes and increased timeout settings.","Added indexes to key tables in ERP database.","Poorly optimized database queries."
"KB00013","Firewall blocking legitimate traffic","New firewall rule blocked access to internal wiki for external users.","P2","Modified firewall rule to allow wiki traffic.","Updated firewall rule to whitelist wiki IP range.","Misconfigured firewall rule."
"KB00014","Slow application performance","HR application response times exceeded 5 seconds during peak usage.","P3","Increased application server CPU allocation.","Upgraded HR app server to 8 vCPUs.","Insufficient CPU allocation for HR app."
"KB00015","SSL certificate expired","Website showed security warnings due to expired SSL certificate.","P1","Renewed SSL certificate and updated on all servers.","Installed new SSL certificate valid until 2026.","Failure to renew SSL certificate on time."
"KB00016","File share access denied","Users could not access shared folders due to permission errors.","P3","Restored correct permissions and audited access controls.","Reset folder permissions to group-based access.","Corrupted permission settings."
"KB00017","Server reboot unexpectedly","Application server (APP-02) rebooted during business hours, causing downtime.","P1","Applied OS patches and scheduled reboots outside business hours.","Scheduled maintenance window for reboots.","Unscheduled OS update triggered reboot."
"KB00018","Email phishing detection failure","Phishing emails bypassed email security gateway.","P2","Updated spam filter rules and retrained detection model.","Upgraded email gateway to version 7.3.","Outdated spam filter rules."
"KB00019","Inventory system data mismatch","Inventory counts in warehouse system did not match physical stock.","P3","Recalculated counts and synced database with physical audit.","Performed full inventory sync and updated API.","API sync failure between systems."
"KB00020","License server down","Software license server failed, preventing access to design tools.","P1","Restarted license server and applied redundancy.","Added secondary license server for failover.","Single point of failure in license server."
"KB00021","DNS resolution failure","Users reported inability to resolve internal domain names.","P2","Restarted DNS service and updated stale records.","Flushed DNS cache and updated records.","Corrupted DNS cache."
"KB00022","Patch deployment failure","Windows patch failed to deploy on 20% of client machines.","P3","Manually applied patches and updated deployment script.","Fixed WSUS deployment script errors.","Script error in patch deployment."
"KB00023","VOIP call quality issues","Users reported choppy audio during VOIP calls.","P3","Increased QoS bandwidth for VOIP traffic.","Prioritized VOIP traffic in network QoS settings.","Insufficient bandwidth allocation for VOIP."
"KB00024","Database connection error","Application failed to connect to secondary database server.","P2","Updated connection string and tested failover.","Corrected connection string in application config.","Misconfigured database connection string."
